Item #	Pic File	Name	Value	Equip Stat	Skill Group	Mod1	Mod2	material	ID/Rep/St	Not identified name	Sprite Index	VarA	VarB	Equip X	Equip Y	Random Item Generation By Treasure Level 1 - 6						Notes		
1	item001	Rusty Sword	50	Weapon	Sword	3d4	0	8	1	Sword	1	0	0	10	120	5	5	2	0	0	0	Some swordsmen swear that the soft metal of an iron sword gives them certain combat advantages.  Those swordsmen never seem to be very old.		
2	item002	Steel Longsword	200	Weapon	Sword	3d4	3	8	3	Sword	1	0	0	6	142	0	10	5	2	0	0	A common sword, this Steel sword is a deadly, if unremarkable, weapon.		
3	item003	Keen Shortsword	350	Weapon	Sword	3d4	6	8	6	Longsword	1	0	0	0	122	0	0	10	5	2	0	Although this longsword appears quite old, the edge of the blade is unusually sharp.  It was quite probably enchanted to remain that way during its creation.		
4	item004	Elven Sword	500	Weapon	Sword	3d4	9	8	9	Longsword	1	0	0	4	138	0	0	10	10	5	0	Often carried by Elven caravan guards, these slightly under-proportioned blades are nearly, but not quite, light enough to brandish single-handedly.		
5	item005	Sharp Cutlass	650	Weapon	Sword	3d4	12	8	12	Longsword	1	0	0	13	142	0	0	0	0	10	10	These rare blades were forged sometime before the Silence, and have been used by noble warriors who want to die in style for centuries.  No two are quite alike, but all share bloody histories.		
6	item006	Barrow Leafblade	400	Weapon2	Sword	4d6	0	8	1	Two-Handed Sword	2	0	0	16	135	0	5	10	5	2	0	This simple two-handed sword with a good grip is well known by the Barrow Guardians.		
7	item007	Drow Sword	500	Weapon2	Sword	4d6	2	8	6	Two-Handed Sword	2	0	0	16	142	0	0	5	10	2	0	Often carried by Dark Elves guards, these slightly proportioned blades are nearly, but not quite, light enough to brandish single-handedly.		
8	item008	Gigantic Sword	800	Weapon	Sword	4d6	8	8	10	Gigant Sword	2	0	0	22	139	0	0	0	2	10	10	Masterpiece of Ancient masters - gigant sword. The power of two-handed weapon hidden inside it but you can control the sword with one hand only.		
9	item009	Rusty Cutlass	100	Weapon	Sword	4d5	0	8	1	Broadsword	3	0	0	8	122	5	10	2	0	0	0	This weapon may once have been of some quality, though it would be hard to tell through the apparent years of corrosion.		
10	item010	Archangel Broadsword	300	Weapon	Sword	4d5	4	8	5	Broadsword	3	0	0	5	113	0	0	10	5	0	0	This blade of pure erudine steel can cut armor like butter and gleams with a starlight glow.  There are finer swords available, but their numbers can be counted on a single hand.		
11	item011	Vampire Sword	600	Weapon	Sword	4d5	10	8	9	Broadsword	3	0	0	2	123	0	0	0	10	10	10	These are made exclusively for members of the Bloody Order, vampires.  Form of this rare sword allow the user to cut a victim's veins in a moment.		
12	item012	Cutlass	190	Weapon	Sword	2d5	0	7	1	Cutlass	4	0	0	6	115	10	5	2	0	0	0	The swept-back style of the cutlass helps opponents underestimate the weapon's true reach.  Many unexperienced swordsmen have lost their lives to this deceptive design.		
13	item013	Regnan Blade	290	Weapon	Sword	2d5	8	7	8	Cutlass	4	0	0	0	109	0	0	5	2	0	0	The extremely forward balance of this weapon's blade gives it extra striking power, but requires great strength and skill from its wielder.		
14	item014	Captain's Cutlass	590	Weapon	Sword	2d5	11	7	11	Cutlass	4	0	0	1	125	0	0	2	5	10	10	Given to Regnan captains upon gaining their first command, these superior weapons help them to dominate their foes and subordinate.		
15	item015	Common Dagger	8	Weapon	Dagger	2d2	0	6	1	Dagger	5	0	0	0	70	10	10	5	0	0	0	A crude dagger found in the hands of thieves and ruffians everywhere.		
16	item016	Master's Dagger	100	Weapon	Dagger	3d3	3	6	3	Dagger	5	0	0	10	68	5	10	5	0	0	0	Daggers of this quality are rare indeed.  Made of erudine and rare woods, finished in gold, and set with a sizable ruby, this would be a rich man's extravagance if it were not also so effective a weapon.		
17	item017	Steel Dagger	150	Weapon	Dagger	2d2	3	6	4	Dagger	5	0	0	12	57	0	0	10	10	5	0	A common dagger, this Steel dagger is a deadly, if unremarkable, weapon.		
18	item018	Assassin's Dagger	250	Missile	Dagger	5d5	10	6	6	Throwing Dagger	5	0	0	14	67	0	0	5	10	5	0	The crosspiece of this dagger folds in to make concealment easier.  A spring in the pommel snaps the crosspiece out very quietly when the dagger is drawn from its sheath.		
19	item019	Twilight Kris	300	Weapon	Dagger	2d2	6	6	9	Dagger	5	0	0	9	78	0	0	0	2	5	15	This wavy bladed long dagger of the best quality steel is the product of the Twilight weaponsmiths.  The bat wing guard set with a blood red ruby marks it as the weapon of a Vampire.		
