#	Lvl		PosX	PosY	Resource	FX Name	Mana	Recovery	Base Dmg	Skill point dmg	Name	Spell Description	Normal	Expert	Master	Grand Master	Stats	Notes	Name	SFX Effect
1	1	FireMagic	217	15	3		1	60-60-60-40			Torch Light	Torch light increases the radius of light surrounding your party in the dark.  	Duration 1 hour per point of  skill	Brighter light	Brightest Light	Faster recovery	P	poner una llama	Torch Light	
2	2	FireMagic	17	13	1	FireBolt	2	110-110-100-90	0	3	Fire Bolt	Launches a burst of fire at a single target.  Damage is 1-3 points of damage per point of skill in Fire Magic, but casting cost is low.  Firebolt is safe and effective—the “Old Reliable” of the Sorcerer’s arsenal.	Slow rate of recovery	Faster recovery rate	Faster recovery rate	Fastest recovery rate	PMEC	proyectil, cambiarlo?	Fire Bolt	1?
3	3	FireMagic	11	232	8		3	120			Fire Resistance	Increases all your characters’ resistance to fire magic by an amount equal to your skill in Fire and lasts one hour per point of skill.	1 point resistance per point of skill	2 points resistance per point of skill	3 points resistance per point of skill	4 points resistance per point of skill	P	portraits o particulas?	Fire Resistance	
4	4	FireMagic	296	231	11		4	120			Fire Aura	Causes a weapon that has no special abilities to burn with a magical fire, giving the weapon the 'of fire' ability.  This spell lasts for one hour per point of skill in Fire Magic.	Of Fire	Of Flame	Of Infernoes	Permanent	P		Fire Aura	
5	5	FireMagic	294	114	7		5	120			Haste	Reduces the time it takes to recover from casting a spell or attacking with a weapon.  Characters will become weak after this spell wears off.  This spell affects the entire party at once.	n/a	Duration 1 hour + 1 minute per skill point	Duration 1 hour + 3 minutes per skill point	Duration 1 hour + 4 minutes per skill point	PM	portraits o particulas?	Haste	
6	6	FireMagic	299	6	4		8	100-100-90-80	0	6	Fireball	Another Sorcerer’s favorite, fireball targets a single monster, but explodes to hurt anyone else caught in the blast.  If your party is too close to the blast, they will be hurt as well.  Fireball does 1-6 points of damage per point of skill in Fire Magic.	n/a	Moderate recovery rate	Faster recovery rate	Fastest recovery rate	PMEC	proyectil	Fireball	12 o  15
7	7	FireMagic	237	171	10		10	150	0	6	Fire Spike	Drops a Fire Spike on the ground that waits for a creature to get near it before exploding.  Fire Spikes causes 1-6 damage per point of skill and last until you leave the map or they are triggered.	n/a	5 spikes maximum	10 spikes maximum	15 spikes maximum	PC	CHANGED	Fire Spike	
8	8	FireMagic	130	133	6	Immolation	15	120	0	6	Immolation	Surrounds your characters with a very hot fire that is only harmful to others.  The spell will deliver 1-6 points of damage per point of skill to all nearby monsters for as long as they remain in the area of effect. 	n/a	n/a	Duration 1 minute per point of skill	Duration 10 minutes per point of skill	PC	proyectil, circulo de fuego	Immolation	4
9	9	FireMagic	115	2	2		20	100-100-100-90	8	1	Meteor Shower	Summons flaming rocks from the sky in a large radius surrounding your chosen target.  Try not to be near the victim when you use this spell.  A single meteor does 8 points of damage plus 1 per point of skill in Fire Magic.  This spell only works outdoors.	n/a	n/a	Moderate rate of recovery and 16 meteors	Fast rate of recovery and 20 rocks	PMEC	proyectil	Meteor Shower	5 o 7
10	10	FireMagic	28	125	5		25	100-100-100-90	12	1	Inferno	Inferno burns all monsters in sight when cast, excluding your characters.  Good for cleaning out rooms full of weak or moderate strength monsters in one or two easy castings.  Each monster takes 12 points of damage plus 1 per point of skill in Fire Magic.  This spell only works indoors.	n/a	n/a	Moderate rate of recovery	Fast rate of recovery	PC	proyectil, gran llama en toda la pantalla	Inferno	23?
11	11	FireMagic	134	233	9	Incinerate	30	90	15	15	Incinerate	Amongst the strongest direct damage spells available, Incinerate inflicts massive damage on a single target.  Only the strongest of monsters can expect to survive this spell.  Damage is 15 points plus 1-15 per point of skill in Fire Magic.	n/a	n/a	n/a	This spell is as good as it will ever get!	PMC	proyectil	Incinerate	11
